number,value,datetime_start,datetime_complete,duration,params_lr_C,params_lr_class_weight,params_tfidf_max_feat,params_tfidf_min_df,params_tfidf_ngram,state
0,0.5364155829275828,2025-11-26 21:28:59.941714,2025-11-26 21:29:01.942146,0 days 00:00:02.000432,1.435761762258847,,10000,5,2,COMPLETE
1,0.3164613311516435,2025-11-26 21:29:01.943138,2025-11-26 21:29:02.594051,0 days 00:00:00.650913,0.037544926491879356,,15000,1,1,COMPLETE
2,0.24420723769851602,2025-11-26 21:29:02.594051,2025-11-26 21:29:04.265331,0 days 00:00:01.671280,0.0095346996146165,,15000,4,2,COMPLETE
3,0.5445010014771764,2025-11-26 21:29:04.266321,2025-11-26 21:29:06.047297,0 days 00:00:01.780976,63.390221192274005,balanced,15000,1,1,COMPLETE
4,0.5674525404785352,2025-11-26 21:29:06.047297,2025-11-26 21:29:07.834052,0 days 00:00:01.786755,1.4903854903414393,balanced,5000,3,2,COMPLETE
