number,value,datetime_start,datetime_complete,duration,params_lr_C,params_lr_class_weight,params_tfidf_max_feat,params_tfidf_min_df,params_tfidf_ngram,state
0,0.6714756272703634,2025-11-26 21:28:52.973927,2025-11-26 21:28:53.750202,0 days 00:00:00.776275,7.208444529602604,,20000,2,1,COMPLETE
1,0.6856494572986049,2025-11-26 21:28:53.751234,2025-11-26 21:28:55.363070,0 days 00:00:01.611836,0.3290643485166705,balanced,15000,2,2,COMPLETE
2,0.6809759281374295,2025-11-26 21:28:55.363070,2025-11-26 21:28:56.946735,0 days 00:00:01.583665,0.0028315996505835135,balanced,20000,1,2,COMPLETE
3,0.6766352876645974,2025-11-26 21:28:56.947733,2025-11-26 21:28:57.429203,0 days 00:00:00.481470,0.0012121063792523154,balanced,5000,5,1,COMPLETE
4,0.6569297607997748,2025-11-26 21:28:57.429203,2025-11-26 21:28:58.083374,0 days 00:00:00.654171,15.832474212486444,balanced,10000,4,1,COMPLETE
