number,value,datetime_start,datetime_complete,duration,params_tfidf_max_feat,params_tfidf_min_df,params_tfidf_ngram,params_xgb_bal_weights,params_xgb_depth,params_xgb_lr,params_xgb_n_est,params_xgb_sub,state
0,0.6782205588692665,2025-11-26 21:49:53.173150,2025-11-26 21:50:54.896267,0 days 00:01:01.723117,5000,1,2,True,8,0.16333249402853467,300,0.7088548221242402,COMPLETE
1,0.6743579532752068,2025-11-26 21:50:54.896267,2025-11-26 21:51:51.526615,0 days 00:00:56.630348,10000,2,2,True,5,0.1794055483757535,150,0.70252868467432,COMPLETE
2,0.6806174761158339,2025-11-26 21:51:51.526615,2025-11-26 21:52:50.820245,0 days 00:00:59.293630,15000,1,1,False,6,0.0833866073332693,400,0.7668169636965827,COMPLETE
3,0.6783003011293405,2025-11-26 21:52:50.820245,2025-11-26 21:54:09.747388,0 days 00:01:18.927143,15000,5,2,True,5,0.02585335027585485,150,0.865134865554783,COMPLETE
4,0.6749622176726384,2025-11-26 21:54:09.748383,2025-11-26 21:54:22.248557,0 days 00:00:12.500174,10000,3,2,False,4,0.2330153886546163,100,0.8357205374046481,COMPLETE
