number,value,datetime_start,datetime_complete,duration,params_tfidf_max_feat,params_tfidf_min_df,params_tfidf_ngram,params_xgb_bal_weights,params_xgb_depth,params_xgb_lr,params_xgb_n_est,params_xgb_sub,state
0,0.4664324399114485,2025-11-26 21:54:24.417192,2025-11-26 21:56:37.041041,0 days 00:02:12.623849,10000,3,1,False,7,0.013194007022623126,500,0.6522378217086445,COMPLETE
1,0.5313812829423039,2025-11-26 21:56:37.042046,2025-11-26 21:58:59.438114,0 days 00:02:22.396068,20000,2,2,True,6,0.04144829420451689,150,0.8468973947515833,COMPLETE
2,0.5215994861421464,2025-11-26 21:58:59.439114,2025-11-26 21:59:59.341052,0 days 00:00:59.901938,5000,4,2,True,3,0.025973840925155627,250,0.8115488517974427,COMPLETE
3,0.5403642291779146,2025-11-26 21:59:59.341052,2025-11-26 22:03:01.272759,0 days 00:03:01.931707,5000,1,2,True,7,0.010886491256441326,500,0.7702712156938682,COMPLETE
4,0.5306195306863258,2025-11-26 22:03:01.272759,2025-11-26 22:06:32.171747,0 days 00:03:30.898988,20000,3,2,True,4,0.032952494746758015,250,0.9000775985717592,COMPLETE
