number,value,datetime_start,datetime_complete,duration,params_mlp_alpha,params_mlp_layers,params_mlp_lr,params_mlp_width,params_tfidf_max_feat,params_tfidf_min_df,params_tfidf_ngram,state
0,0.6798643499033102,2025-11-26 21:29:09.985524,2025-11-26 21:30:58.993404,0 days 00:01:49.007880,0.003614999034861691,2,0.006216641712303058,448,15000,4,1,COMPLETE
1,0.6868617585505004,2025-11-26 21:30:58.993404,2025-11-26 21:31:27.076113,0 days 00:00:28.082709,0.00012414997523514732,2,0.001791402640745931,256,5000,1,1,COMPLETE
2,0.7036110387670363,2025-11-26 21:31:27.077867,2025-11-26 21:34:05.725464,0 days 00:02:38.647597,0.0018285739417557773,3,0.00022294892713165058,512,15000,5,2,COMPLETE
3,0.6882677542656388,2025-11-26 21:34:05.726469,2025-11-26 21:34:48.323954,0 days 00:00:42.597485,0.0006226477012333591,1,0.0009773522346304359,320,5000,3,1,COMPLETE
4,0.695231043743625,2025-11-26 21:34:48.326008,2025-11-26 21:35:30.394819,0 days 00:00:42.068811,0.002052670656075828,2,0.001020102448731541,192,10000,5,1,COMPLETE
