number,value,datetime_start,datetime_complete,duration,params_mlp_alpha,params_mlp_layers,params_mlp_lr,params_mlp_width,params_tfidf_max_feat,params_tfidf_min_df,params_tfidf_ngram,state
0,0.5227107012941992,2025-11-26 21:35:32.557742,2025-11-26 21:37:04.606429,0 days 00:01:32.048687,0.005384771702389503,1,0.0012407851187305448,384,10000,4,1,COMPLETE
1,0.47607820217615987,2025-11-26 21:37:04.606429,2025-11-26 21:37:32.067989,0 days 00:00:27.461560,0.0024745260856728272,3,0.0012314560331701477,64,20000,4,2,COMPLETE
2,0.4760878592669644,2025-11-26 21:37:32.067989,2025-11-26 21:38:58.432155,0 days 00:01:26.364166,1.7978640120110485e-05,3,0.006760607371192981,256,15000,3,2,COMPLETE
3,0.48671940761659904,2025-11-26 21:38:58.432155,2025-11-26 21:39:15.410013,0 days 00:00:16.977858,0.00045329545725813727,2,0.007264392679649176,128,5000,3,1,COMPLETE
4,0.474772155222657,2025-11-26 21:39:15.410611,2025-11-26 21:40:42.236626,0 days 00:01:26.826015,7.625691921580968e-05,2,0.0019875499780711236,256,15000,2,1,COMPLETE
