number,value,datetime_start,datetime_complete,duration,params_emb_model,params_mlp_alpha,params_mlp_layers,params_mlp_lr,params_mlp_width,state
0,0.31637136648431524,2025-11-26 22:59:21.614282,2025-11-26 22:59:23.117082,0 days 00:00:01.502800,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.006919982131736633,2,0.009637074770266332,64,COMPLETE
1,0.4044144081418987,2025-11-26 22:59:23.117082,2025-11-26 22:59:25.141223,0 days 00:00:02.024141,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.00797399687906578,2,0.001400904338391151,64,COMPLETE
2,0.3180211051168998,2025-11-26 22:59:25.141223,2025-11-26 22:59:27.453861,0 days 00:00:02.312638,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,2.761723580716682e-05,2,0.00010461648429335714,64,COMPLETE
3,0.38362497849560545,2025-11-26 22:59:27.453861,2025-11-26 22:59:35.823269,0 days 00:00:08.369408,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.00014701809512558214,2,0.004942566489428544,448,COMPLETE
4,0.422273256054782,2025-11-26 22:59:35.823269,2025-11-26 22:59:47.610532,0 days 00:00:11.787263,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1.095120338643792e-05,3,0.0001657128276399238,320,COMPLETE
