number,value,datetime_start,datetime_complete,duration,params_emb_model,params_mlp_alpha,params_mlp_layers,params_mlp_lr,params_mlp_width,state
0,0.6770338154026159,2025-11-26 22:58:38.201901,2025-11-26 22:58:40.339101,0 days 00:00:02.137200,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.0025580581473473606,2,0.0005707142855545011,64,COMPLETE
1,0.6762709242073435,2025-11-26 22:58:40.339101,2025-11-26 22:58:44.076724,0 days 00:00:03.737623,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.0001596638625944778,3,0.0027660843484098533,192,COMPLETE
2,0.6817051346384734,2025-11-26 22:58:44.092502,2025-11-26 22:59:00.738770,0 days 00:00:16.646268,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.0002986861799921803,3,0.00040661570983037203,512,COMPLETE
3,0.6733008230705597,2025-11-26 22:59:00.739310,2025-11-26 22:59:04.082887,0 days 00:00:03.343577,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.0004100903199146612,3,0.00017863296457049983,64,COMPLETE
4,0.6776884619035892,2025-11-26 22:59:04.082887,2025-11-26 22:59:18.060012,0 days 00:00:13.977125,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1.2708013923438599e-05,3,0.00017905821787728615,448,COMPLETE
